"","stationid","lat","lon","source"
"1","AF_0000001",36.9833,68.3,"gsim"
"2","AF_0000002",36.7,68.8333,"gsim"
"3","AF_0000003",36.1,68.6667,"gsim"
"4","AF_0000004",35.6,68.6,"gsim"
"5","AF_0000005",35.3,67.9167,"gsim"
"6","AF_0000006",35.2667,67.9833,"gsim"
"7","AF_0000007",35.6,68.6833,"gsim"
"8","AF_0000008",36.7333,69.2,"gsim"
"9","AF_0000009",37.0833,69.4667,"gsim"
"10","AF_0000010",36.9333,70.8667,"gsim"
"11","AF_0000011",37.0167,70.8333,"gsim"
"12","AF_0000012",35.5833,63.3167,"gsim"
"13","AF_0000013",35.0333,64.0167,"gsim"
"14","AF_0000014",35.2333,63.4667,"gsim"
"15","AF_0000015",34.35,63.65,"gsim"
"16","AF_0000016",34.6,61.2667,"gsim"
"17","AF_0000017",34.2833,62.2167,"gsim"
"18","AF_0000018",34.5167,65.25,"gsim"
"19","AF_0000019",34.55,65.7667,"gsim"
"20","AF_0000020",34.2167,63,"gsim"
"21","AF_0000021",34.1333,64.2,"gsim"
"22","AF_0000022",36.5833,64.8667,"gsim"
"23","AF_0000023",35.95,64.9,"gsim"
"24","AF_0000024",36.5833,66.9667,"gsim"
"25","AF_0000025",34.75,67,"gsim"
"26","AF_0000026",36.1333,66.95,"gsim"
"27","AF_0000027",36.5833,67.7833,"gsim"
"28","AF_0000028",36.2,65.95,"gsim"
"29","AF_0000029",34.2333,71.0333,"gsim"
"30","AF_0000030",34.6167,69.7167,"gsim"
"31","AF_0000031",34.5667,69.4,"gsim"
"32","AF_0000032",34.4667,70.55,"gsim"
"33","AF_0000033",34.9,71.1333,"gsim"
"34","AF_0000034",34.9333,69.4833,"gsim"
"35","AF_0000035",35.1667,69.2833,"gsim"
"36","AF_0000036",35.3667,69.6333,"gsim"
"37","AF_0000037",35.0833,69.1333,"gsim"
"38","AO_0000001",-14.9,15.0833,"gsim"
"39","AO_0000002",-15.7,17.4667,"gsim"
"40","AO_0000003",-13.05,16.3667,"gsim"
"41","AO_0000004",-14.3667,16.5,"gsim"
"42","AO_0000005",-14.6667,16.9,"gsim"
"43","AR_0000001",-27.37,-55.88,"gsim"
"44","AR_0000002",-25.28,-65.38,"gsim"
"45","AR_0000003",-25.33,-64.5,"gsim"
"46","AR_0000004",-26.22,-63.75,"gsim"
"47","AR_0000005",-27.97,-58.85,"gsim"
"48","AR_0000006",-32.67,-60.71,"gsim"
"49","AR_0000007",-32.93,-64.7,"gsim"
"50","AR_0000008",-28.97,-58.55,"gsim"
"51","AR_0000009",-22.72,-64.37,"gsim"
"52","AR_0000010",-24.73,-65.27,"gsim"
"53","AR_0000011",-23.73,-64.47,"gsim"
"54","AR_0000012",-24.58,-64.22,"gsim"
"55","AR_0000013",-26.3,-59.38,"gsim"
"56","AR_0000014",-29.83,-57.68,"gsim"
"57","AR_0000015",-28.92,-67.63,"gsim"
"58","AR_0000016",-27.58,-67,"gsim"
"59","AR_0000017",-27.4,-65.98,"gsim"
"60","AR_0000018",-27.67,-65.77,"gsim"
"61","AR_0000019",-27.1,-65.6,"gsim"
"62","AR_0000020",-26.35,-65.35,"gsim"
"63","AR_0000021",-26.52,-65.22,"gsim"
"64","AR_0000022",-31.1,-65.18,"gsim"
"65","AR_0000023",-31.52,-68.63,"gsim"
"66","AR_0000024",-31.92,-69.68,"gsim"
"67","AR_0000025",-31.88,-69.68,"gsim"
"68","AR_0000026",-31.95,-69.7,"gsim"
"69","AR_0000027",-32.85,-69.77,"gsim"
"70","AR_0000028",-32.85,-69.27,"gsim"
"71","AR_0000029",-33.78,-69.25,"gsim"
"72","AR_0000030",-33.38,-67.17,"gsim"
"73","AR_0000031",-34.67,-69.33,"gsim"
"74","AR_0000032",-34.57,-68.57,"gsim"
"75","AR_0000033",-33.02,-65.68,"gsim"
"76","AR_0000034",-35.03,-68.87,"gsim"
"77","AR_0000035",-36.73,-69.95,"gsim"
"78","AR_0000036",-37.1,-69.73,"gsim"
"79","AR_0000037",-38.83,-64.83,"gsim"
"80","AR_0000038",-38.53,-69.42,"gsim"
"81","AR_0000039",-39.8,-71.22,"gsim"
"82","AR_0000040",-41.07,-71.15,"gsim"
"83","AR_0000041",-40.43,-63.67,"gsim"
"84","AR_0000042",-42.1,-71.17,"gsim"
"85","AR_0000043",-42.7,-70.53,"gsim"
"86","AR_0000044",-43.85,-68.5,"gsim"
"87","AR_0000045",-44.97,-71.35,"gsim"
"88","AR_0000046",-45.45,-69.42,"gsim"
