Date,qobs,qmod
1983-12-02,0,0.31711808
1983-12-03,0,0.31060436
1992-11-23,0,0.14759673
1992-11-24,0,0.1463904
1992-11-25,0,0.14526154
1992-11-26,0,0.1441076
1992-11-27,0,0.14348811
1992-11-28,0,0.14505574
1992-11-29,0,0.14588828
1992-11-30,0,0.3789338
1992-12-01,0,2.1015992
1992-12-02,0,4.718837
1992-12-03,0,4.3232656
1992-12-04,0,4.361837
1994-12-14,0,0.13375686
1994-12-15,0,0.24244393
1994-12-16,0,0.28408685
1994-12-17,0,0.1644452
1994-12-18,0,0.13194662
1994-12-19,0,0.12847501
1994-12-20,0,0.12730622
1994-12-21,0,0.12707642
1994-12-22,0,0.12734246
1994-12-23,0,0.1249677
1994-12-24,0,0.20105769
1994-12-27,0,1.2564639
1994-12-28,0,2.2257495
1994-12-29,0,3.782558
1994-12-30,0,0.9925871
1995-01-11,0,4.7748623
